title,author,publisher,price,rating,ratings_count
Unique English Course Speak real English. Часть 2,Александр Чумаков,,12.34,4.99,122
"The Stone Survival - Gargoyles of Stonehaven, Book 4 (Unabridged)",Debbie Cassidy,Insatiable Press,25.5,5.0,1
"The Stone Secret - Gargoyles of Stonehaven, Book 2 (Unabridged)",Debbie Cassidy,Insatiable Press,25.5,4.7,1
"Bonding with the Beast - Kindred Tales, Book 2 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,4.17,70
"Taming the Tiger - Kindred Tales, Book 42 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,5.0,1
"Tied to the Wulven - Kindred Tales, Book 48 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,4.19,1
"Guarded by the Hybrid - Kindred Tales, Book 44 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,3.51,3
"Queen of Their Colony - A Kindred Tales Novel, Book 45 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,2.8,1
"Shared by the Monstrum - Kindred Tales, Book 49 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,2.2,1
"The Throne of Shadows - The Shadow Fae - An Arranged Marriage, Enemies to Lovers, Dark Fantasy Romance (The Shadow Fae, Book One), Book 1 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,4.0,2
"Heat Cycle - Forbidden Omegaverse, Book 3 (Unabridged)",Evangeline Anderson,Insatiable Press,25.5,2.9,3
Burning for Love - A Kindred Tales Novel (Unabridged),Evangeline Anderson,Insatiable Press,25.5,4.3,1
Paterson,William Carlos Williams,Carcanet Classics,22.26,3.7,2
Crystal Reiki Healing,Philip Permutt,Cico Books,18.08,2.8,1
Community Klepto (Unabridged),Kelly I. Hitchcock,She Writes Press,24.34,3.3,10
Fahrenheit 451 / 451 градус по Фаренгейту,Ray Douglas Bradbury,,4.93,4.75,8
Value Investing,"Bruce C. Greenwald, Judd Kahn, Erin Bellissimo, Mark A. Cooper, Tano Santos",Wiley,21.8,3.9,1
The Lord of the Rings,J. R. r. tolkien,HarperCollins Publishers,21.03,3.67,3
Pre-Calculus For Dummies,"Yang  Kuang, Elleyne  Kase",,19.99,5.0,1
History Matters,Mark Carl,epubli,9.26,3.76,1
Foundation,Isaac Asimov,,9.67,4.6,10
"The Body in the Attic - A Jazzi Zanders Mystery, Book 1 (Unabridged)",Judi Lynn,Vibrance Press,19.7,2.4,1
Ten a Penny Tart,John Maxwell,novum publishing,19.7,4.2,16
How to win Friends and influence People / Как завоевывать друзей и оказывать влияние на людей. Книга для чтения на английском языке,Dale Carnegie,,4.74,4.2,15
The Power of Unpopular. A Guide to Building Your Brand for the Audience Who Will Love You (and why no one else matters),Erika  Napoletano,,24.95,3.55,36
Consulting with Astrology,Wendy Stacey,Flare,18.08,5.0,1
Unlimited Memory. How to Train Your Brain to Learn Faster and Remember More,Nathan Lawton,,4.89,4.5,4
A Bear Called Paddington,"Michael  Bond, Peggy  Fortnum",,5.79,5.0,4
The Financier / Финансист,Theodore Dreiser,,5.17,3.2,14
Tactics Made Simple,Jon Emmett,Fernhurst Books Limited,16.68,3.3,4
Demon Dentist,David  Walliams,,8.71,5.0,1
Uncle Vanya,Anton Chekhov,Faber & Faber,16.22,4.2,20
Теория вероятностей и математическая статистика для применения в анализе данных,Ольга Евгеньевна Пыркина,,16.05,3.07,12
The Steadfast Love of the Lord,Sam Storms,Crossway,15.93,2.86,1
Princess & The Hustler,Chinonyerem Odimba,Nick Hern Books,17.96,3.6,8
Joyland,Stephen King,Hard Case Crime,11.58,5.0,1
Ingmar - Cosmic Symbols,Wolfgang Becvar,Limarutti Verlag,17.96,3.8,1
The Gentleman From Peru,André Aciman,Faber & Faber,13.9,3.9,121
Pygmalion,GEORGE BERNARD SHAW,L.A. Theatre Works,8.06,4.19,27
Call Me By Your Name,André Aciman,Atlantic Books,13.32,3.16,11
Essays,Michel de Montaigne,Wiley,14.49,2.0,1
The Great Gatsby,F. Scott Fitzgerald,L.A. Theatre Works,8.06,5.0,3
Crime And Punishment / Преступление и наказание,Fyodor Dostoyevsky,,7.05,4.2,5
The Life and Adventures of Robinson Crusoe (Unabridged),Daniel Defoe,Bookstream Audiobooks,12.74,5.0,1
The Housemaide / Горничная. Книга для чтения на английском языке,Freida McFadden,,2.46,4.8,10
Intarsia,Siân Brown,The Crowood Press,16.22,4.6,4
Titan / Титан. Книга для чтения на английском языке,Theodore Dreiser,,7.59,3.75,8
Summary: Emotional Intelligence. Why it can matter more than IQ. Daniel Goleman,Smart Reading,,3.44,4.75,8
Tender is the Night - Book 1 (Unabridged),F. Scott Fitzgerald,Bookstream Audiobooks,8.1,4.2,130
Dandelion Wine / Вино из одуванчиков,Ray Douglas Bradbury,,3.69,3.86,7
"Beautiful World, Where Are You",Sally Rooney,Faber & Faber,13.9,4.0,2
Introducing Logic,"Dan  Cryan, Sharron  Shatil, Bill Mayblin",Icon Books,6.94,1.0,1
The White Tiger,Aravind Adiga,Atlantic Books,13.32,5.0,1
If She Saw,Blake Pierce,,4.43,4.0,2
Vegan Snacks & Munchies,,Ryland Peters & Small,13.9,2.8,1
Raising Boys: Why Boys are Different – and How to Help them Become Happy and Well-Balanced Men,Steve  Biddulph,,13.55,4.49,5
Boxing,Gary Blower,Crowood,13.32,4.9,2
Jack London Collection,Jack London,E-Kitap Projesi & Cheapest Books,11.58,5.0,1
Lolita / Лолита. Книга для чтения на английском языке,Vladimir Nabokov,,6.34,4.12,33
The Book of Laughter and Forgetting,Milan Kundera,Faber & Faber,12.74,3.0,3
1984. Читаем в оригинале с комментарием,George Orwell,,4.68,5.0,1
The Body Book,Cameron  Diaz,,12.58,3.07,3
Unique English Course Speak real English. Часть 2,Александр Чумаков,,12.34,5.0,121
Northanger Abbey (Unabridged),Jane Austen,Bookstream Audiobooks,17.38,5.0,1
